timestamp_utc,yield_pct,source
2026-02-03T00:00:00Z,5.282,CNBC
2026-02-03T07:36:00Z,5.281,CNBC
2026-02-03T08:00:00Z,5.295,CNBC
2026-02-03T08:01:00Z,5.295,CNBC
2026-02-03T08:02:00Z,5.29,CNBC
2026-02-03T08:03:00Z,5.291,CNBC
2026-02-03T08:04:00Z,5.292,CNBC
2026-02-03T08:05:00Z,5.293,CNBC
2026-02-03T08:06:00Z,5.295,CNBC
2026-02-03T08:07:00Z,5.295,CNBC
2026-02-03T08:08:00Z,5.295,CNBC
2026-02-03T08:09:00Z,5.295,CNBC
2026-02-03T08:10:00Z,5.293,CNBC
2026-02-03T08:11:00Z,5.295,CNBC
2026-02-03T08:12:00Z,5.295,CNBC
2026-02-03T08:13:00Z,5.294,CNBC
2026-02-03T08:14:00Z,5.294,CNBC
2026-02-03T08:15:00Z,5.296,CNBC
2026-02-03T08:16:00Z,5.296,CNBC
2026-02-03T08:17:00Z,5.297,CNBC
2026-02-03T08:18:00Z,5.295,CNBC
2026-02-03T08:19:00Z,5.294,CNBC
2026-02-03T08:20:00Z,5.291,CNBC
2026-02-03T08:21:00Z,5.291,CNBC
2026-02-03T08:22:00Z,5.292,CNBC
2026-02-03T08:23:00Z,5.293,CNBC
2026-02-03T08:24:00Z,5.294,CNBC
2026-02-03T08:25:00Z,5.295,CNBC
2026-02-03T08:26:00Z,5.296,CNBC
2026-02-03T08:27:00Z,5.297,CNBC
2026-02-03T08:28:00Z,5.298,CNBC
2026-02-03T08:29:00Z,5.298,CNBC
2026-02-03T08:30:00Z,5.297,CNBC
2026-02-03T08:31:00Z,5.295,CNBC
2026-02-03T08:32:00Z,5.295,CNBC
2026-02-03T08:33:00Z,5.297,CNBC
2026-02-03T08:34:00Z,5.298,CNBC
2026-02-03T08:35:00Z,5.298,CNBC
2026-02-03T08:36:00Z,5.3,CNBC
2026-02-03T08:37:00Z,5.3,CNBC
2026-02-03T08:38:00Z,5.298,CNBC
2026-02-03T08:39:00Z,5.297,CNBC
2026-02-03T08:40:00Z,5.298,CNBC
2026-02-03T08:41:00Z,5.297,CNBC
2026-02-03T08:43:00Z,5.295,CNBC
2026-02-03T08:44:00Z,5.294,CNBC
2026-02-03T08:45:00Z,5.294,CNBC
2026-02-03T08:46:00Z,5.293,CNBC
2026-02-03T08:47:00Z,5.294,CNBC
2026-02-03T08:48:00Z,5.294,CNBC
2026-02-03T08:49:00Z,5.293,CNBC
2026-02-03T08:50:00Z,5.292,CNBC
2026-02-03T08:51:00Z,5.291,CNBC
2026-02-03T08:52:00Z,5.291,CNBC
2026-02-03T08:54:00Z,5.29,CNBC
2026-02-03T08:55:00Z,5.29,CNBC
2026-02-03T08:56:00Z,5.292,CNBC
2026-02-03T08:57:00Z,5.292,CNBC
2026-02-03T08:58:00Z,5.29,CNBC
2026-02-03T08:59:00Z,5.29,CNBC
2026-02-03T09:00:00Z,5.29,CNBC
2026-02-03T09:01:00Z,5.291,CNBC
2026-02-03T09:02:00Z,5.293,CNBC
2026-02-03T09:03:00Z,5.293,CNBC
2026-02-03T09:04:00Z,5.291,CNBC
2026-02-03T09:05:00Z,5.291,CNBC
2026-02-03T09:06:00Z,5.294,CNBC
2026-02-03T09:07:00Z,5.291,CNBC
2026-02-03T09:08:00Z,5.292,CNBC
2026-02-03T09:09:00Z,5.289,CNBC
