timestamp_utc,yield_pct,source
2026-05-08T06:04:00Z,5.604,CNBC
2026-05-08T06:50:00Z,5.617,CNBC
2026-05-08T06:54:00Z,5.618,CNBC
2026-05-08T07:00:00Z,5.627,CNBC
2026-05-08T07:01:00Z,5.631,CNBC
2026-05-08T07:02:00Z,5.631,CNBC
2026-05-08T07:03:00Z,5.632,CNBC
2026-05-08T07:04:00Z,5.632,CNBC
2026-05-08T07:05:00Z,5.632,CNBC
2026-05-08T07:07:00Z,5.631,CNBC
2026-05-08T07:08:00Z,5.632,CNBC
2026-05-08T07:09:00Z,5.628,CNBC
2026-05-08T07:10:00Z,5.631,CNBC
2026-05-08T07:11:00Z,5.631,CNBC
2026-05-08T07:12:00Z,5.63,CNBC
2026-05-08T07:13:00Z,5.631,CNBC
2026-05-08T07:14:00Z,5.63,CNBC
2026-05-08T07:15:00Z,5.628,CNBC
2026-05-08T07:16:00Z,5.628,CNBC
2026-05-08T07:17:00Z,5.625,CNBC
2026-05-08T07:18:00Z,5.628,CNBC
2026-05-08T07:19:00Z,5.627,CNBC
2026-05-08T07:20:00Z,5.626,CNBC
2026-05-08T07:21:00Z,5.624,CNBC
2026-05-08T07:22:00Z,5.624,CNBC
2026-05-08T07:23:00Z,5.625,CNBC
2026-05-08T07:24:00Z,5.623,CNBC
2026-05-08T07:25:00Z,5.624,CNBC
2026-05-08T07:30:00Z,5.637,CNBC
2026-05-08T07:31:00Z,5.63,CNBC
2026-05-08T07:33:00Z,5.629,CNBC
2026-05-08T07:34:00Z,5.628,CNBC
2026-05-08T07:35:00Z,5.629,CNBC
2026-05-08T07:36:00Z,5.63,CNBC
2026-05-08T07:37:00Z,5.63,CNBC
2026-05-08T07:38:00Z,5.628,CNBC
2026-05-08T07:39:00Z,5.627,CNBC
2026-05-08T07:40:00Z,5.628,CNBC
2026-05-08T07:41:00Z,5.626,CNBC
2026-05-08T07:42:00Z,5.626,CNBC
2026-05-08T07:43:00Z,5.625,CNBC
2026-05-08T07:44:00Z,5.623,CNBC
2026-05-08T07:45:00Z,5.624,CNBC
2026-05-08T07:46:00Z,5.623,CNBC
2026-05-08T07:47:00Z,5.624,CNBC
2026-05-08T07:48:00Z,5.623,CNBC
2026-05-08T07:49:00Z,5.624,CNBC
2026-05-08T07:50:00Z,5.623,CNBC
2026-05-08T07:51:00Z,5.625,CNBC
2026-05-08T07:52:00Z,5.624,CNBC
2026-05-08T07:53:00Z,5.621,CNBC
2026-05-08T07:54:00Z,5.621,CNBC
2026-05-08T07:55:00Z,5.62,CNBC
2026-05-08T07:56:00Z,5.617,CNBC
2026-05-08T07:57:00Z,5.618,CNBC
2026-05-08T07:58:00Z,5.609,CNBC
2026-05-08T07:59:00Z,5.607,CNBC
2026-05-08T08:00:00Z,5.605,CNBC
2026-05-08T08:01:00Z,5.603,CNBC
2026-05-08T08:02:00Z,5.608,CNBC
2026-05-08T08:03:00Z,5.608,CNBC
2026-05-08T08:04:00Z,5.604,CNBC
2026-05-08T08:05:00Z,5.605,CNBC
2026-05-08T08:06:00Z,5.608,CNBC
2026-05-08T08:07:00Z,5.608,CNBC
2026-05-08T08:08:00Z,5.607,CNBC
2026-05-08T08:09:00Z,5.607,CNBC
2026-05-08T08:10:00Z,5.61,CNBC
2026-05-08T08:11:00Z,5.606,CNBC
2026-05-08T08:12:00Z,5.604,CNBC
2026-05-08T08:14:00Z,5.602,CNBC
2026-05-08T08:15:00Z,5.604,CNBC
2026-05-08T08:16:00Z,5.603,CNBC
2026-05-08T08:17:00Z,5.603,CNBC
2026-05-08T08:18:00Z,5.602,CNBC
2026-05-08T08:19:00Z,5.602,CNBC
2026-05-08T08:20:00Z,5.605,CNBC
2026-05-08T08:21:00Z,5.602,CNBC
2026-05-08T08:22:00Z,5.598,CNBC
2026-05-08T08:23:00Z,5.594,CNBC
2026-05-08T08:24:00Z,5.589,CNBC
2026-05-08T08:25:00Z,5.585,CNBC
2026-05-08T08:26:00Z,5.585,CNBC
2026-05-08T08:27:00Z,5.584,CNBC
2026-05-08T08:28:00Z,5.584,CNBC
2026-05-08T08:29:00Z,5.586,CNBC
2026-05-08T08:30:00Z,5.584,CNBC
2026-05-08T08:31:00Z,5.577,CNBC
2026-05-08T08:32:00Z,5.575,CNBC
2026-05-08T08:33:00Z,5.576,CNBC
2026-05-08T08:34:00Z,5.572,CNBC
2026-05-08T08:35:00Z,5.571,CNBC
2026-05-08T08:36:00Z,5.568,CNBC
2026-05-08T08:37:00Z,5.566,CNBC
2026-05-08T08:38:00Z,5.565,CNBC
2026-05-08T08:39:00Z,5.563,CNBC
2026-05-08T08:40:00Z,5.562,CNBC
